device,operation,data_size_bytes,data_size_human,world_size,dtype,median_time_ms,std_time_ms,bus_bandwidth_gbps,algo_bandwidth_gbps
NVIDIA H20-3e,allreduce,4096,4KB,4,bfloat16,0.0353,0.0042,0.1741,0.1161
NVIDIA H20-3e,allreduce,8192,8KB,4,bfloat16,0.0335,0.0998,0.3664,0.2443
NVIDIA H20-3e,allreduce,16384,16KB,4,bfloat16,0.0340,0.0046,0.7235,0.4823
NVIDIA H20-3e,allreduce,32768,32KB,4,bfloat16,0.0413,0.0055,1.1912,0.7941
NVIDIA H20-3e,allreduce,65536,64KB,4,bfloat16,0.0348,0.0021,2.8222,1.8815
NVIDIA H20-3e,allreduce,131072,128KB,4,bfloat16,0.0355,0.3273,5.5401,3.6934
NVIDIA H20-3e,allreduce,262144,256KB,4,bfloat16,0.0353,0.0022,11.1456,7.4304
NVIDIA H20-3e,allreduce,524288,512KB,4,bfloat16,0.0363,0.0018,21.6433,14.4289
NVIDIA H20-3e,allreduce,1048576,1.0MB,4,bfloat16,0.0386,0.4302,40.7056,27.1371
NVIDIA H20-3e,allreduce,2097152,2.0MB,4,bfloat16,0.0471,0.0012,66.7373,44.4915
NVIDIA H20-3e,allreduce,4194304,4.0MB,4,bfloat16,0.0592,0.0009,106.2172,70.8115
NVIDIA H20-3e,allreduce,8388608,8.0MB,4,bfloat16,0.0779,0.0017,161.4850,107.6567
NVIDIA H20-3e,allreduce,16777216,16.0MB,4,bfloat16,0.1151,0.0018,218.6355,145.7570
NVIDIA H20-3e,allreduce,33554432,32.0MB,4,bfloat16,0.1943,0.5159,259.0356,172.6904
NVIDIA H20-3e,allreduce,67108864,64.0MB,4,bfloat16,0.3436,0.3890,292.9529,195.3019
NVIDIA H20-3e,allreduce,134217728,128.0MB,4,bfloat16,0.6476,0.3241,310.8657,207.2438
NVIDIA H20-3e,allreduce,268435456,256.0MB,4,bfloat16,1.2153,0.0100,331.3124,220.8749
NVIDIA H20-3e,allreduce,536870912,512.0MB,4,bfloat16,2.3667,0.0452,340.2626,226.8417
NVIDIA H20-3e,allgather,4096,4KB,4,bfloat16,0.0925,0.0027,0.0332,0.0443
NVIDIA H20-3e,allgather,8192,8KB,4,bfloat16,0.0917,0.1117,0.0670,0.0894
NVIDIA H20-3e,allgather,16384,16KB,4,bfloat16,0.0914,0.0025,0.1344,0.1792
NVIDIA H20-3e,allgather,32768,32KB,4,bfloat16,0.0918,0.0025,0.2678,0.3571
NVIDIA H20-3e,allgather,65536,64KB,4,bfloat16,0.0919,0.0026,0.5350,0.7133
NVIDIA H20-3e,allgather,131072,128KB,4,bfloat16,0.0918,0.0026,1.0706,1.4274
NVIDIA H20-3e,allgather,262144,256KB,4,bfloat16,0.0925,0.0025,2.1256,2.8341
NVIDIA H20-3e,allgather,524288,512KB,4,bfloat16,0.0931,0.0024,4.2256,5.6341
NVIDIA H20-3e,allgather,1048576,1.0MB,4,bfloat16,0.1069,0.4279,7.3581,9.8108
NVIDIA H20-3e,allgather,2097152,2.0MB,4,bfloat16,0.0937,0.0032,16.7840,22.3787
NVIDIA H20-3e,allgather,4194304,4.0MB,4,bfloat16,0.0926,0.0030,33.9565,45.2753
NVIDIA H20-3e,allgather,8388608,8.0MB,4,bfloat16,0.0933,0.0030,67.4354,89.9139
NVIDIA H20-3e,allgather,16777216,16.0MB,4,bfloat16,0.1199,0.4745,104.9276,139.9034
NVIDIA H20-3e,allgather,33554432,32.0MB,4,bfloat16,0.1703,0.0260,147.8117,197.0822
NVIDIA H20-3e,allgather,67108864,64.0MB,4,bfloat16,0.2723,0.0270,184.8471,246.4628
NVIDIA H20-3e,allgather,134217728,128.0MB,4,bfloat16,0.4682,0.0097,215.0043,286.6724
NVIDIA H20-3e,allgather,268435456,256.0MB,4,bfloat16,0.8491,0.1820,237.1137,316.1516
NVIDIA H20-3e,allgather,536870912,512.0MB,4,bfloat16,1.5995,0.0371,251.7363,335.6484
NVIDIA H20-3e,all2all,4096,4KB,4,bfloat16,0.0766,0.0034,0.0401,0.0535
NVIDIA H20-3e,all2all,8192,8KB,4,bfloat16,0.0766,0.0019,0.0802,0.1070
NVIDIA H20-3e,all2all,16384,16KB,4,bfloat16,0.0760,0.0034,0.1618,0.2157
NVIDIA H20-3e,all2all,32768,32KB,4,bfloat16,0.0759,0.0023,0.3236,0.4315
NVIDIA H20-3e,all2all,65536,64KB,4,bfloat16,0.0763,0.0028,0.6439,0.8585
NVIDIA H20-3e,all2all,131072,128KB,4,bfloat16,0.0764,0.0017,1.2867,1.7156
NVIDIA H20-3e,all2all,262144,256KB,4,bfloat16,0.0783,0.0032,2.5103,3.3471
NVIDIA H20-3e,all2all,524288,512KB,4,bfloat16,0.0796,0.0050,4.9369,6.5826
NVIDIA H20-3e,all2all,1048576,1.0MB,4,bfloat16,0.0866,0.4002,9.0787,12.1049
NVIDIA H20-3e,all2all,2097152,2.0MB,4,bfloat16,0.0786,0.0024,20.0008,26.6678
NVIDIA H20-3e,all2all,4194304,4.0MB,4,bfloat16,0.0792,0.0027,39.7108,52.9477
NVIDIA H20-3e,all2all,8388608,8.0MB,4,bfloat16,0.0985,0.0192,63.8960,85.1947
NVIDIA H20-3e,all2all,16777216,16.0MB,4,bfloat16,0.1182,0.0029,106.4905,141.9873
NVIDIA H20-3e,all2all,33554432,32.0MB,4,bfloat16,0.1657,0.2023,151.8355,202.4473
NVIDIA H20-3e,all2all,67108864,64.0MB,4,bfloat16,0.2689,0.3023,187.1900,249.5867
NVIDIA H20-3e,all2all,134217728,128.0MB,4,bfloat16,0.4364,0.0113,230.6590,307.5454
NVIDIA H20-3e,all2all,268435456,256.0MB,4,bfloat16,0.7747,0.2564,259.8648,346.4864
NVIDIA H20-3e,all2all,536870912,512.0MB,4,bfloat16,1.4611,0.4739,275.5815,367.4420
