device,pattern,size_mb,dtype,median_time_ms,std_time_ms,bandwidth_gbps,peak_bandwidth_gbps,utilization_pct,in_l2_cache
NVIDIA L20,seq_copy,0.25,float32,0.0252,0.0042,20.8051,864.0000,2.41,False
NVIDIA L20,seq_copy,0.5,float32,0.0246,0.0091,42.6667,864.0000,4.94,False
NVIDIA L20,seq_copy,1.0,float32,0.0241,0.0034,86.9178,864.0000,10.06,False
NVIDIA L20,seq_copy,2.0,float32,0.0244,0.0034,171.6726,864.0000,19.87,False
NVIDIA L20,seq_copy,4.0,float32,0.0277,0.0027,303.0566,864.0000,35.08,False
NVIDIA L20,seq_copy,9.6,float32,0.0512,0.0043,393.2159,864.0000,45.51,False
NVIDIA L20,seq_copy,24.0,float32,0.0973,0.0026,517.3895,864.0000,59.88,False
NVIDIA L20,seq_copy,48.0,float32,0.1766,0.0034,569.8782,864.0000,65.96,False
NVIDIA L20,seq_copy,72.0,float32,0.2539,0.0029,594.7680,864.0000,68.84,False
NVIDIA L20,seq_copy,96.0,float32,0.3287,0.0056,612.4860,864.0000,70.89,False
NVIDIA L20,seq_copy,144.0,float32,0.4853,0.0059,622.2387,864.0000,72.02,False
NVIDIA L20,seq_copy,192.0,float32,0.6378,0.0054,631.2762,864.0000,73.06,False
NVIDIA L20,seq_copy,256.0,float32,0.8479,0.0045,633.1981,864.0000,73.29,False
NVIDIA L20,seq_copy,384.0,float32,1.2534,0.0056,642.5098,864.0000,74.36,False
NVIDIA L20,seq_copy,512.0,float32,1.6666,0.0058,644.2740,864.0000,74.57,False
NVIDIA L20,seq_copy,1024.0,float32,3.2538,0.0123,660.0006,864.0000,76.39,False
NVIDIA L20,seq_copy,0.25,bfloat16,0.0236,0.0035,22.2609,864.0000,2.58,False
NVIDIA L20,seq_copy,0.5,bfloat16,0.0246,0.0033,42.6667,864.0000,4.94,False
NVIDIA L20,seq_copy,1.0,bfloat16,0.0255,0.0093,82.2284,864.0000,9.52,False
NVIDIA L20,seq_copy,2.0,bfloat16,0.0246,0.0040,170.6667,864.0000,19.75,False
NVIDIA L20,seq_copy,4.0,bfloat16,0.0276,0.0065,303.4074,864.0000,35.12,False
NVIDIA L20,seq_copy,9.6,bfloat16,0.0563,0.0027,357.4690,864.0000,41.37,False
NVIDIA L20,seq_copy,24.0,bfloat16,0.0948,0.0033,531.1038,864.0000,61.47,False
NVIDIA L20,seq_copy,48.0,bfloat16,0.1751,0.0024,574.8772,864.0000,66.54,False
NVIDIA L20,seq_copy,72.0,bfloat16,0.2510,0.0031,601.6693,864.0000,69.64,False
NVIDIA L20,seq_copy,96.0,bfloat16,0.3248,0.0033,619.9395,864.0000,71.75,False
NVIDIA L20,seq_copy,144.0,bfloat16,0.4823,0.0036,626.1401,864.0000,72.47,False
NVIDIA L20,seq_copy,192.0,bfloat16,0.6339,0.0039,635.2439,864.0000,73.52,False
NVIDIA L20,seq_copy,256.0,bfloat16,0.8386,0.0042,640.1807,864.0000,74.09,False
NVIDIA L20,seq_copy,384.0,bfloat16,1.2498,0.0044,644.3523,864.0000,74.58,False
NVIDIA L20,seq_copy,512.0,bfloat16,1.6563,0.0115,648.2696,864.0000,75.03,False
NVIDIA L20,seq_copy,1024.0,bfloat16,3.2845,0.0492,653.8276,864.0000,75.67,False
NVIDIA L20,seq_write,0.25,float32,0.0241,0.0070,10.8864,864.0000,1.26,False
NVIDIA L20,seq_write,0.5,float32,0.0246,0.0041,21.3333,864.0000,2.47,False
NVIDIA L20,seq_write,1.0,float32,0.0236,0.0041,44.5217,864.0000,5.15,False
NVIDIA L20,seq_write,2.0,float32,0.0236,0.0038,88.9227,864.0000,10.29,False
NVIDIA L20,seq_write,4.0,float32,0.0236,0.0046,177.9661,864.0000,20.60,False
NVIDIA L20,seq_write,9.6,float32,0.0277,0.0023,362.8290,864.0000,41.99,False
NVIDIA L20,seq_write,24.0,float32,0.0619,0.0053,406.7401,864.0000,47.08,False
NVIDIA L20,seq_write,48.0,float32,0.0809,0.0028,622.1772,864.0000,72.01,False
NVIDIA L20,seq_write,72.0,float32,0.1162,0.0052,649.5859,864.0000,75.18,False
NVIDIA L20,seq_write,96.0,float32,0.1505,0.0049,668.7347,864.0000,77.40,False
NVIDIA L20,seq_write,144.0,float32,0.2181,0.0041,692.2817,864.0000,80.13,False
NVIDIA L20,seq_write,192.0,float32,0.2868,0.0036,701.9756,864.0000,81.25,False
NVIDIA L20,seq_write,256.0,float32,0.3805,0.0047,705.5179,864.0000,81.66,False
NVIDIA L20,seq_write,384.0,float32,0.5632,0.0038,714.8976,864.0000,82.74,False
NVIDIA L20,seq_write,512.0,float32,0.7485,0.0036,717.2203,864.0000,83.01,False
NVIDIA L20,seq_write,1024.0,float32,1.4848,0.0042,723.1559,864.0000,83.70,False
NVIDIA L20,seq_write,0.25,bfloat16,0.0220,0.0032,11.9070,864.0000,1.38,False
NVIDIA L20,seq_write,0.5,bfloat16,0.0225,0.0035,23.2727,864.0000,2.69,False
NVIDIA L20,seq_write,1.0,bfloat16,0.0225,0.0041,46.5455,864.0000,5.39,False
NVIDIA L20,seq_write,2.0,bfloat16,0.0216,0.0034,97.0185,864.0000,11.23,False
NVIDIA L20,seq_write,4.0,bfloat16,0.0241,0.0030,174.2979,864.0000,20.17,False
NVIDIA L20,seq_write,9.6,bfloat16,0.0507,0.0060,198.7194,864.0000,23.00,False
NVIDIA L20,seq_write,24.0,bfloat16,0.0558,0.0108,450.9358,864.0000,52.19,False
NVIDIA L20,seq_write,48.0,bfloat16,0.0819,0.0026,614.5200,864.0000,71.13,False
NVIDIA L20,seq_write,72.0,bfloat16,0.1167,0.0028,646.7368,864.0000,74.85,False
NVIDIA L20,seq_write,96.0,bfloat16,0.1520,0.0033,662.2585,864.0000,76.65,False
NVIDIA L20,seq_write,144.0,bfloat16,0.2232,0.0037,676.4037,864.0000,78.29,False
NVIDIA L20,seq_write,192.0,bfloat16,0.2943,0.0036,684.0770,864.0000,79.18,False
NVIDIA L20,seq_write,256.0,bfloat16,0.3871,0.0043,693.5027,864.0000,80.27,False
NVIDIA L20,seq_write,384.0,bfloat16,0.5703,0.0038,706.0127,864.0000,81.71,False
NVIDIA L20,seq_write,512.0,bfloat16,0.7578,0.0044,708.4973,864.0000,82.00,False
NVIDIA L20,seq_write,1024.0,bfloat16,1.5022,0.0069,714.7986,864.0000,82.73,False
NVIDIA L20,strided_copy,0.25,float32,0.0256,0.0049,20.4800,864.0000,2.37,False
NVIDIA L20,strided_copy,0.5,float32,0.0272,0.0060,38.5053,864.0000,4.46,False
NVIDIA L20,strided_copy,1.0,float32,0.0307,0.0030,68.2667,864.0000,7.90,False
NVIDIA L20,strided_copy,2.0,float32,0.0429,0.0022,97.6692,864.0000,11.30,False
NVIDIA L20,strided_copy,4.0,float32,0.0655,0.0031,128.0625,864.0000,14.82,False
NVIDIA L20,strided_copy,9.6,float32,0.1397,0.0100,144.1011,864.0000,16.68,False
NVIDIA L20,strided_copy,24.0,float32,0.2483,0.0040,202.6887,864.0000,23.46,False
NVIDIA L20,strided_copy,48.0,float32,0.4495,0.0040,223.9271,864.0000,25.92,False
NVIDIA L20,strided_copy,72.0,float32,0.6431,0.0051,234.7967,864.0000,27.18,False
NVIDIA L20,strided_copy,96.0,float32,0.8448,0.0047,238.3127,864.0000,27.58,False
NVIDIA L20,strided_copy,144.0,float32,1.9211,0.0294,157.1999,864.0000,18.19,False
NVIDIA L20,strided_copy,192.0,float32,5.4774,0.1560,73.5116,864.0000,8.51,False
NVIDIA L20,strided_copy,256.0,float32,21.0407,0.4648,25.5158,864.0000,2.95,False
NVIDIA L20,strided_copy,384.0,float32,54.6207,0.4329,14.7436,864.0000,1.71,False
NVIDIA L20,strided_copy,512.0,float32,76.1836,0.0898,14.0941,864.0000,1.63,False
NVIDIA L20,strided_copy,1024.0,float32,152.1413,0.1193,14.1151,864.0000,1.63,False
NVIDIA L20,strided_copy,0.25,bfloat16,0.0286,0.0095,18.3369,864.0000,2.12,False
NVIDIA L20,strided_copy,0.5,bfloat16,0.0333,0.0035,31.5077,864.0000,3.65,False
NVIDIA L20,strided_copy,1.0,bfloat16,0.0420,0.0033,49.9512,864.0000,5.78,False
NVIDIA L20,strided_copy,2.0,bfloat16,0.0629,0.0041,66.6694,864.0000,7.72,False
NVIDIA L20,strided_copy,4.0,bfloat16,0.0998,0.0050,84.0205,864.0000,9.72,False
NVIDIA L20,strided_copy,9.6,bfloat16,0.2258,0.0125,89.1646,864.0000,10.32,False
NVIDIA L20,strided_copy,24.0,bfloat16,0.4516,0.0073,111.4558,864.0000,12.90,False
NVIDIA L20,strided_copy,48.0,bfloat16,0.8172,0.0065,123.1783,864.0000,14.26,False
NVIDIA L20,strided_copy,72.0,bfloat16,1.2938,0.0040,116.7102,864.0000,13.51,False
NVIDIA L20,strided_copy,96.0,bfloat16,3.5825,0.0597,56.1978,864.0000,6.50,False
NVIDIA L20,strided_copy,144.0,bfloat16,36.2148,0.8089,8.3389,864.0000,0.97,False
NVIDIA L20,strided_copy,192.0,bfloat16,56.5493,0.2444,7.1204,864.0000,0.82,False
NVIDIA L20,strided_copy,256.0,bfloat16,77.7820,0.3680,6.9022,864.0000,0.80,False
NVIDIA L20,strided_copy,384.0,bfloat16,116.9787,0.6802,6.8842,864.0000,0.80,False
NVIDIA L20,strided_copy,512.0,bfloat16,156.3658,0.7159,6.8669,864.0000,0.79,False
NVIDIA L20,strided_copy,1024.0,bfloat16,310.4747,2.0252,6.9168,864.0000,0.80,False
